mode,case,p1_MeV,T_gamma_MeV,target,category,quantity,total,support,domain,unsupported,corrected,kink,all_masks_exact,negative_M_T_in_route,cap,global_relative,global_scale,max_absolute,max_absolute_index,samples,worst_actual_bits,worst_expected_bits,worst_local_index,worst_local_relative
same_input,1,0.75,0.4,antinu_mu,elastic_plus,W_T,27648,27648,27648,0,0,0,True,7162,1e-07,6.272555561628089e-16,14.159753723561947,8.881784197001252e-15,27284,27648,402a8a6a49b0e927,402a8a6a49b0e92c,20896,8.907585132966509e-16
same_input,1,0.75,0.4,nu_tau,elastic_minus,M,27648,27648,27648,0,0,0,True,7162,1e-07,0.0,1.0154400029712473e-15,0.0,0,27648,3b64bab90c1f239b,3b64bab90c1f239b,0,0.0
same_input,1,0.75,0.4,nu_tau,elastic_minus,M_T,27648,27648,27648,0,0,0,True,7162,1e-07,0.0,5.076738769933888e-15,0.0,0,27648,3ad5c0577cd42c09,3ad5c0577cd42c09,0,0.0
same_input,1,0.75,0.4,nu_tau,elastic_minus,W,27648,27648,27648,0,0,0,True,7162,1e-07,1.56832579024848e-16,2.831613256705437,4.440892098500626e-16,27232,27648,4001501997d32067,4001501997d32068,14356,4.3996545180030203e-16
same_input,1,0.75,0.4,nu_tau,elastic_minus,W_T,27648,27648,27648,0,0,0,True,7162,1e-07,6.272555561628089e-16,14.159753723561947,8.881784197001252e-15,27284,27648,402a8a6a49b0e927,402a8a6a49b0e92c,20896,8.907585132966509e-16
same_input,1,0.75,0.4,nu_tau,elastic_plus,M,27648,27648,27648,0,0,0,True,7152,1e-07,0.0,1.012765548903505e-15,0.0,0,27648,3b615807c17f324d,3b615807c17f324d,0,0.0
same_input,1,0.75,0.4,nu_tau,elastic_plus,M_T,27648,27648,27648,0,0,0,True,7152,1e-07,0.0,5.0632060649962675e-15,0.0,0,27648,3ad16d217ea9d95c,3ad16d217ea9d95c,0,0.0
same_input,1,0.75,0.4,nu_tau,elastic_plus,W,27648,27648,27648,0,0,0,True,7152,1e-07,1.56832579024848e-16,2.831613256705437,4.440892098500626e-16,27232,27648,4001501997d32067,4001501997d32068,14356,4.3996545180030203e-16
same_input,1,0.75,0.4,nu_tau,elastic_plus,W_T,27648,27648,27648,0,0,0,True,7152,1e-07,6.272555561628089e-16,14.159753723561947,8.881784197001252e-15,27284,27648,402a8a6a49b0e927,402a8a6a49b0e92c,20896,8.907585132966509e-16
same_input,1,0.75,0.4,antinu_tau,elastic_minus,M,27648,27648,27648,0,0,0,True,7152,1e-07,0.0,1.012765548903505e-15,0.0,0,27648,3b615807c17f324d,3b615807c17f324d,0,0.0
same_input,1,0.75,0.4,antinu_tau,elastic_minus,M_T,27648,27648,27648,0,0,0,True,7152,1e-07,0.0,5.0632060649962675e-15,0.0,0,27648,3ad16d217ea9d95c,3ad16d217ea9d95c,0,0.0
same_input,1,0.75,0.4,antinu_tau,elastic_minus,W,27648,27648,27648,0,0,0,True,7152,1e-07,1.56832579024848e-16,2.831613256705437,4.440892098500626e-16,27232,27648,4001501997d32067,4001501997d32068,14356,4.3996545180030203e-16
same_input,1,0.75,0.4,antinu_tau,elastic_minus,W_T,27648,27648,27648,0,0,0,True,7152,1e-07,6.272555561628089e-16,14.159753723561947,8.881784197001252e-15,27284,27648,402a8a6a49b0e927,402a8a6a49b0e92c,20896,8.907585132966509e-16
same_input,1,0.75,0.4,antinu_tau,elastic_plus,M,27648,27648,27648,0,0,0,True,7162,1e-07,0.0,1.0154400029712473e-15,0.0,0,27648,3b64bab90c1f239b,3b64bab90c1f239b,0,0.0
same_input,1,0.75,0.4,antinu_tau,elastic_plus,M_T,27648,27648,27648,0,0,0,True,7162,1e-07,0.0,5.076738769933888e-15,0.0,0,27648,3ad5c0577cd42c09,3ad5c0577cd42c09,0,0.0
same_input,1,0.75,0.4,antinu_tau,elastic_plus,W,27648,27648,27648,0,0,0,True,7162,1e-07,1.56832579024848e-16,2.831613256705437,4.440892098500626e-16,27232,27648,4001501997d32067,4001501997d32068,14356,4.3996545180030203e-16
same_input,1,0.75,0.4,antinu_tau,elastic_plus,W_T,27648,27648,27648,0,0,0,True,7162,1e-07,6.272555561628089e-16,14.159753723561947,8.881784197001252e-15,27284,27648,402a8a6a49b0e927,402a8a6a49b0e92c,20896,8.907585132966509e-16
end_to_end,0,2.0,2.05,nu_e,elastic_minus,M,27648,27648,27648,0,0,0,True,4148,1e-07,1.2047777215782474e-13,8.92592190855382e-13,1.0753751859972833e-25,27107,27648,3d6cb777b87d624b,3d6cb777b87d5e22,27644,1.1949950265211559e-11
end_to_end,0,2.0,2.05,nu_e,elastic_minus,M_T,27648,27648,27648,0,0,0,True,4148,1e-07,1.5990110907522704e-13,8.708095704130658e-13,1.3924341610237124e-25,27116,27648,3d6be638976d4ed7,3d6be638976d4974,27644,2.398196564976147e-11
end_to_end,0,2.0,2.05,nu_e,elastic_minus,W,27648,27648,27648,0,0,0,True,4148,1e-07,2.547073163444913e-16,27.896439959309692,7.105427357601002e-15,27284,27648,403a24cad718c815,403a24cad718c817,6496,4.384237165821987e-16
end_to_end,0,2.0,2.05,nu_e,elastic_minus,W_T,27648,27648,27648,0,0,0,True,4148,1e-07,3.916090871788925e-16,27.216276090990494,1.0658141036401503e-14,27228,27648,4032190b5069fdad,4032190b5069fdb0,17768,8.95924825847321e-16
end_to_end,0,2.0,2.05,nu_e,elastic_plus,M,27648,27648,27648,0,0,0,True,4350,1e-07,6.709654118746634e-14,8.796193729288696e-13,5.901941748501522e-26,27107,27648,3d403e86cd2103e7,3d403e86cd210d09,27629,2.2161769438681216e-11
end_to_end,0,2.0,2.05,nu_e,elastic_plus,M_T,27648,27648,27648,0,0,0,True,4350,1e-07,7.925711776569923e-14,8.580443351262587e-13,6.800612091729299e-26,27107,27648,3d3fba1b48464c3c,3d3fba1b48466148,19580,6.226306855695655e-11
end_to_end,0,2.0,2.05,nu_e,elastic_plus,W,27648,27648,27648,0,0,0,True,4350,1e-07,2.547073163444913e-16,27.896439959309692,7.105427357601002e-15,27284,27648,403a24cad718c815,403a24cad718c817,6496,4.384237165821987e-16
end_to_end,0,2.0,2.05,nu_e,elastic_plus,W_T,27648,27648,27648,0,0,0,True,4350,1e-07,3.916090871788925e-16,27.216276090990494,1.0658141036401503e-14,27228,27648,4032190b5069fdad,4032190b5069fdb0,17768,8.95924825847321e-16
end_to_end,0,2.0,2.05,antinu_e,elastic_minus,M,27648,27648,27648,0,0,0,True,4350,1e-07,6.709654118746634e-14,8.796193729288696e-13,5.901941748501522e-26,27107,27648,3d403e86cd2103e7,3d403e86cd210d09,27629,2.2161769438681216e-11
end_to_end,0,2.0,2.05,antinu_e,elastic_minus,M_T,27648,27648,27648,0,0,0,True,4350,1e-07,7.925711776569923e-14,8.580443351262587e-13,6.800612091729299e-26,27107,27648,3d3fba1b48464c3c,3d3fba1b48466148,19580,6.226306855695655e-11
end_to_end,0,2.0,2.05,antinu_e,elastic_minus,W,27648,27648,27648,0,0,0,True,4350,1e-07,2.547073163444913e-16,27.896439959309692,7.105427357601002e-15,27284,27648,403a24cad718c815,403a24cad718c817,6496,4.384237165821987e-16
end_to_end,0,2.0,2.05,antinu_e,elastic_minus,W_T,27648,27648,27648,0,0,0,True,4350,1e-07,3.916090871788925e-16,27.216276090990494,1.0658141036401503e-14,27228,27648,4032190b5069fdad,4032190b5069fdb0,17768,8.95924825847321e-16
end_to_end,0,2.0,2.05,antinu_e,elastic_plus,M,27648,27648,27648,0,0,0,True,4148,1e-07,1.2047777215782474e-13,8.92592190855382e-13,1.0753751859972833e-25,27107,27648,3d6cb777b87d624b,3d6cb777b87d5e22,27644,1.1949950265211559e-11
end_to_end,0,2.0,2.05,antinu_e,elastic_plus,M_T,27648,27648,27648,0,0,0,True,4148,1e-07,1.5990110907522704e-13,8.708095704130658e-13,1.3924341610237124e-25,27116,27648,3d6be638976d4ed7,3d6be638976d4974,27644,2.398196564976147e-11
